time,cfl,pressure_at_valve
0,7.79E-05,3.00E+06
1.00E-06,7.79E-05,3000690.941
7.89E-05,7.79E-05,3052911.838
0.000156777,7.79E-05,3103626.883
0.000234662,7.79E-05,3151413.294
0.000312545,7.79E-05,3195141.392
0.000390422,7.79E-05,3233837.792
0.000468291,7.79E-05,3267488.47
0.000546154,7.79E-05,3296677.397
0.000624012,7.79E-05,3322091.844
0.000701864,7.78E-05,3344228.941
0.000779712,7.78E-05,3363323.951
0.000857556,7.78E-05,3379649.56
0.000935397,7.78E-05,3393417.888
0.001013235,7.78E-05,3404660.236
0.00109107,7.78E-05,3413474.66
0.001168902,7.78E-05,3419948.247
0.001246734,7.78E-05,3424139.679
0.001324563,7.78E-05,3426084.203
0.001402392,7.78E-05,3425803.35
0.001480221,7.78E-05,3423340.49
0.001558049,7.78E-05,3418599.887
0.001635877,7.78E-05,3411509.645
0.001713705,7.78E-05,3402253.567
0.001791535,7.78E-05,3391168.179
0.001869365,7.78E-05,3378600.931
0.001947196,7.78E-05,3364829.336
0.002025029,7.78E-05,3350226.187
0.002102863,7.78E-05,3335274.798
0.002180699,7.78E-05,3320470.988
0.002258537,7.78E-05,3306258.499
0.002336375,7.78E-05,3292989.048
0.002414212,7.78E-05,3280910.728
0.002492049,7.78E-05,3270180.212
0.002569887,7.78E-05,3260885.958
0.002647724,7.78E-05,3253072.525
0.002725561,7.78E-05,3246767.789
0.002803397,7.78E-05,3242013.454
0.002881234,7.78E-05,3238806.093
0.002959071,7.78E-05,3237120.7
0.003036908,7.78E-05,3236895.219
0.003114745,7.78E-05,3238123.34
0.003192583,7.78E-05,3240820.015
0.003270421,7.78E-05,3244870.448
0.003348259,7.78E-05,3250101.301
0.003426096,7.78E-05,3256316.536
0.003503935,7.78E-05,3263313.018
0.003581773,7.78E-05,3270893.131
0.003659613,7.78E-05,3278872.536
0.003737453,7.78E-05,3287077.352
0.003815293,7.78E-05,3295341.267
0.003893134,7.78E-05,3303462.421
0.003970974,7.78E-05,3311229.492
0.004048813,7.78E-05,3318445.21
0.004126651,7.78E-05,3324939.762
