time,cfl,pressure_at_valve
0,5.61E-05,3.00E+06
0.000463538,5.60E-05,3385829.9
0.000981921,5.60E-05,3276177.563
0.001472311,5.60E-05,3294673.704
0.001815588,5.60E-05,3330736.604
0.00234802,5.60E-05,3287603.167
0.00282441,5.60E-05,3319277.912
0.003356847,5.60E-05,3289371.716
0.00383324,5.60E-05,3312408.869
0.004106465,5.60E-05,3304527.065
0.004666929,5.60E-05,3301543.296
0.005185359,5.60E-05,3303567.326
0.005745823,5.60E-05,3303676.307
0.006183686,5.60E-05,3305692.173
0.006526971,5.60E-05,3296042.494
0.007087437,5.60E-05,3309408.079
0.007647904,5.60E-05,3297947.139
0.00820837,5.60E-05,3307626.327
0.008768837,5.60E-05,3299490.173
0.009329305,5.60E-05,3305418.162
0.009889772,5.60E-05,3301378.841
0.01045024,5.60E-05,3303563.214
0.011010708,5.60E-05,3303069.151
0.011571176,5.60E-05,3301951.998
0.012131645,5.60E-05,3304306.435
0.012692114,5.60E-05,3300901.63
0.013252583,5.60E-05,3305136.471
0.013813052,5.60E-05,3300275.723
0.014373521,5.60E-05,3305351.598
0.014933991,5.60E-05,3300165.752
0.01549446,5.60E-05,3305253.744
0.01605493,5.60E-05,3300548.421
0.0166154,5.60E-05,3304826.281
0.017175871,5.60E-05,3301173.214
0.017736341,5.60E-05,3304180.948
0.018296812,5.60E-05,3301960.408
0.018857283,5.60E-05,3303436.953
0.019417755,5.60E-05,3302684.932
0.019978227,5.60E-05,3302712.539
0.020538699,5.60E-05,3303326.473
0.021099172,5.60E-05,3302175.547
0.021659645,5.60E-05,3303804.396
0.022220118,5.60E-05,3301823.421
0.022780593,5.60E-05,3304041.309
0.023341068,5.60E-05,3301701.271
0.023901544,5.60E-05,3304062.511
0.02446202,5.60E-05,3301778.303
0.025022498,5.60E-05,3303896.141
0.025582976,5.60E-05,3302006.006
0.026143455,5.60E-05,3303604.333
0.026703934,5.60E-05,3302334.773
0.027264415,5.60E-05,3303256.759
0.027824896,5.60E-05,3302666.107
0.028385377,5.60E-05,3302944.654
0.028945859,5.60E-05,3302938.571
0.029506341,5.60E-05,3302706.23
0.030066823,5.60E-05,3303146.699
0.030627305,5.60E-05,3302538.219
0.031187788,5.60E-05,3303273.423
0.03174827,5.60E-05,3302452.433
0.032308753,5.60E-05,3303320.706
0.032869235,5.60E-05,3302440.312
0.033429718,5.60E-05,3303295.741
0.033990201,5.60E-05,3302497.6
0.034550684,5.60E-05,3303209.785
0.035111167,5.60E-05,3302606.645
0.03567165,5.60E-05,3303082.813
0.036232133,5.60E-05,3302740.081
0.036792615,5.60E-05,3302935.036
0.037353098,5.60E-05,3302850.954
0.037913582,5.60E-05,3302772.558
0.038474065,5.60E-05,3302965.515
0.039034548,5.60E-05,3302683.444
0.039595031,5.60E-05,3303024.012
0.040155514,5.60E-05,3302583.29
0.040715997,5.60E-05,3303078.974
0.04127648,5.60E-05,3302545.026
0.041836963,5.60E-05,3303043.59
0.042397446,5.60E-05,3302589.185
0.042957929,5.60E-05,3303006.206
0.043518413,5.60E-05,3302646.941
0.044078896,5.60E-05,3302953.755
0.044639379,5.60E-05,3302707.892
0.045199862,5.60E-05,3302877.323
0.045760346,5.60E-05,3302781.168
0.046320829,5.60E-05,3302800.895
0.046881312,5.60E-05,3302853.477
0.047441796,5.60E-05,3302727.024
0.048002279,5.60E-05,3302909.266
0.048562762,5.60E-05,3302681.608
0.049123246,5.60E-05,3302942.51
0.049683729,5.60E-05,3302653.732
0.050244212,5.60E-05,3302945.701
0.050804696,5.60E-05,3302668.601
0.051365179,5.60E-05,3302953.285
0.051925663,5.60E-05,3302347.418
0.052486148,5.60E-05,3299379.946
0.053046641,5.61E-05,3287120.008
0.053607158,5.61E-05,3261031.613
0.054167716,5.61E-05,3221385.807
0.054728333,5.61E-05,3170171.993
0.055289025,5.61E-05,3106627.498
0.055849799,5.61E-05,3031494.873
0.056410606,5.61E-05,2948882.392
0.056971413,5.61E-05,2869808.16
0.05753222,5.61E-05,2810024.449
0.058093028,5.61E-05,2761664.69
0.058653835,5.61E-05,2730270.678
0.059214643,5.61E-05,2708496.139
0.05977545,5.61E-05,2700962.718
0.060336257,5.61E-05,2697659.8
0.060897065,5.61E-05,2697129.115
0.061457872,5.61E-05,2697432.605
0.06201868,5.61E-05,2697652.814
0.062579487,5.61E-05,2697212.893
